Date,Open,High,Low,Close,Adj Close,Volume
2009-03-12,30.104999542236328,30.104999542236328,30.104999542236328,30.104999542236328,23.02466583251953,166
2009-03-13,30.104999542236328,30.104999542236328,30.104999542236328,30.104999542236328,23.02466583251953,0
2009-03-16,30.104999542236328,30.104999542236328,30.104999542236328,30.104999542236328,23.02466583251953,0
2009-03-17,30.104999542236328,30.104999542236328,30.104999542236328,30.104999542236328,23.02466583251953,0
2009-03-18,30.104999542236328,30.104999542236328,30.104999542236328,30.104999542236328,23.02466583251953,0
2009-03-19,30.78499984741211,30.78499984741211,30.78499984741211,30.78499984741211,23.544740676879883,320
2009-03-20,30.78499984741211,30.78499984741211,30.78499984741211,30.78499984741211,23.544740676879883,0
2009-03-23,31.0,31.0,31.0,31.0,23.70917320251465,40
2009-03-24,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-03-25,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-03-26,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-03-27,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-03-30,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-03-31,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-01,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-02,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-03,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-06,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-07,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-08,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-09,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-14,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-15,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-16,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-17,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-20,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-21,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-22,31.0,31.0,31.0,31.0,23.70917320251465,0
2009-04-23,29.905000686645508,29.905000686645508,29.905000686645508,29.905000686645508,22.871706008911133,30
2009-04-24,29.905000686645508,29.905000686645508,29.905000686645508,29.905000686645508,22.871706008911133,0
2009-04-27,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,166
2009-04-28,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,0
2009-04-29,30.405000686645508,30.405000686645508,30.405000686645508,30.405000686645508,23.254112243652344,66
2009-04-30,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,320
2009-05-01,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,0
2009-05-04,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,0
2009-05-05,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,0
2009-05-06,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,0
2009-05-07,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,0
2009-05-08,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,23.234989166259766,0
2009-05-11,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,120
2009-05-12,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,0
2009-05-13,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,0
2009-05-14,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,0
2009-05-15,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,0
2009-05-18,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,0
2009-05-19,29.790000915527344,29.790000915527344,29.790000915527344,29.790000915527344,22.783754348754883,0
2009-05-20,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,23.403249740600586,410
2009-05-21,30.489999771118164,30.489999771118164,30.489999771118164,30.489999771118164,23.319122314453125,650
2009-05-22,30.489999771118164,30.489999771118164,30.489999771118164,30.489999771118164,23.319122314453125,0
2009-05-25,30.489999771118164,30.489999771118164,30.489999771118164,30.489999771118164,23.319122314453125,0
2009-05-26,30.489999771118164,30.489999771118164,30.489999771118164,30.489999771118164,23.319122314453125,0
2009-05-27,30.489999771118164,30.489999771118164,30.489999771118164,30.489999771118164,23.319122314453125,0
2009-05-28,30.299999237060547,30.299999237060547,30.299999237060547,30.299999237060547,23.173803329467773,500
2009-05-29,30.059999465942383,30.059999465942383,30.020000457763672,30.020000457763672,22.959657669067383,1200
2009-06-01,29.90999984741211,29.90999984741211,29.905000686645508,29.905000686645508,22.871706008911133,1662
2009-06-02,29.905000686645508,29.905000686645508,29.905000686645508,29.905000686645508,22.871706008911133,0
2009-06-03,29.875,29.875,29.875,29.875,22.848756790161133,160
2009-06-04,29.875,29.875,29.875,29.875,22.848756790161133,0
2009-06-05,29.875,29.875,29.875,29.875,22.848756790161133,0
2009-06-09,29.875,29.875,29.875,29.875,22.848756790161133,0
2009-06-10,29.875,29.875,29.875,29.875,22.848756790161133,0
2009-06-11,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,22.71491813659668,6720
2009-06-12,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,22.71491813659668,0
2009-06-15,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,420
2009-06-16,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,0
2009-06-17,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,0
2009-06-18,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,0
2009-06-19,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,0
2009-06-22,29.71500015258789,29.71500015258789,29.71500015258789,29.71500015258789,22.726390838623047,0
2009-06-23,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,842
2009-06-24,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,0
2009-06-25,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,0
2009-06-26,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,0
2009-06-29,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,0
2009-06-30,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,0
2009-07-01,29.825000762939453,29.825000762939453,29.825000762939453,29.825000762939453,22.810522079467773,0
