Course Of Sales
Time,Price ($),Volume,Value ($),Condition
16/03/2016 04:10:27 PM,16.60,367,6092.20,
16/03/2016 04:10:27 PM,16.60,625,10375.00,
16/03/2016 04:10:27 PM,16.60,5820,96612.00,
16/03/2016 04:10:27 PM,16.60,140,2324.00,
16/03/2016 04:10:27 PM,16.60,103,1709.80,
16/03/2016 04:10:27 PM,16.60,303,5029.80,
16/03/2016 04:10:27 PM,16.60,3542,58797.20,
16/03/2016 04:10:27 PM,16.60,954,15836.40,
16/03/2016 04:10:27 PM,16.60,3093,51343.80,
16/03/2016 04:10:27 PM,16.60,123,2041.80,
16/03/2016 04:10:27 PM,16.60,8,132.80,XT
16/03/2016 04:10:27 PM,16.60,7745,128567.00,XT
16/03/2016 04:10:27 PM,16.60,2954,49036.40,XT
16/03/2016 04:10:27 PM,16.60,91,1510.60,XT
16/03/2016 04:10:27 PM,16.60,2601,43176.60,
16/03/2016 04:10:27 PM,16.60,482,8001.20,
16/03/2016 04:10:27 PM,16.60,3649,60573.40,
16/03/2016 04:10:27 PM,16.60,415,6889.00,
16/03/2016 04:10:27 PM,16.60,936,15537.60,
16/03/2016 04:10:27 PM,16.60,1764,29282.40,
16/03/2016 04:10:27 PM,16.60,1,16.60,
16/03/2016 04:10:27 PM,16.60,657,10906.20,
16/03/2016 04:10:27 PM,16.60,3650,60590.00,
16/03/2016 04:10:27 PM,16.60,2460,40836.00,
16/03/2016 04:10:27 PM,16.60,98,1626.80,
16/03/2016 04:10:27 PM,16.60,3854,63976.40,
16/03/2016 04:10:27 PM,16.60,1553,25779.80,
16/03/2016 04:10:27 PM,16.60,5299,87963.40,XT
16/03/2016 04:10:27 PM,16.60,2012,33399.20,
16/03/2016 04:10:27 PM,16.60,300,4980.00,
16/03/2016 04:10:27 PM,16.60,485,8051.00,
16/03/2016 03:59:58 PM,16.56,4,66.24,
16/03/2016 03:59:58 PM,16.56,2,33.12,
16/03/2016 03:59:55 PM,16.56,33,546.48,
16/03/2016 03:59:54 PM,16.56,2,33.12,
16/03/2016 03:59:52 PM,16.56,6,99.36,
16/03/2016 03:59:51 PM,.00,0,.00,
16/03/2016 03:59:50 PM,16.57,83,1375.31,
16/03/2016 03:59:50 PM,16.57,36,596.52,
16/03/2016 03:59:50 PM,16.57,1529,25335.53,
16/03/2016 03:59:50 PM,16.57,1,16.57,
16/03/2016 03:59:49 PM,16.57,439,7274.23,
16/03/2016 03:59:49 PM,16.57,260,4308.20,
16/03/2016 03:59:49 PM,16.57,38,629.66,
16/03/2016 03:59:49 PM,16.57,1263,20927.91,
16/03/2016 03:59:49 PM,16.57,107,1772.99,
16/03/2016 03:59:49 PM,16.57,93,1541.01,
