_seq	close	high	low	open	symbol	volume	datetime
14864	183.900	184.100	183.900	184.100	FB	536	2019-08-22 09:00:00-04:00
15243	184.090	184.090	184.090	184.090	FB	2	2019-08-22 09:01:00-04:00
15539	184.100	184.100	184.100	184.100	FB	1	2019-08-22 09:02:00-04:00
15801	183.910	183.910	183.900	183.900	FB	11	2019-08-22 09:03:00-04:00
15988	184.100	184.100	183.990	183.990	FB	214	2019-08-22 09:04:00-04:00
16355	183.930	184.094	183.930	184.000	FB	64	2019-08-22 09:05:00-04:00
16614	184.060	184.060	183.900	183.930	FB	539	2019-08-22 09:06:00-04:00
16910	184.100	184.100	183.900	183.910	FB	186	2019-08-22 09:07:00-04:00
17175	183.940	184.100	183.900	183.930	FB	975	2019-08-22 09:08:00-04:00
17428	184.000	184.000	184.000	184.000	FB	1	2019-08-22 09:09:00-04:00
17699	183.910	184.000	183.910	183.910	FB	106	2019-08-22 09:10:00-04:00
17984	184.000	184.000	184.000	184.000	FB	5	2019-08-22 09:11:00-04:00
18258	184.000	184.000	184.000	184.000	FB	20	2019-08-22 09:12:00-04:00
18509	183.970	183.970	183.970	183.970	FB	3	2019-08-22 09:13:00-04:00
18715	183.900	183.988	183.830	183.830	FB	350	2019-08-22 09:14:00-04:00
19038	184.000	184.000	183.830	183.900	FB	1517	2019-08-22 09:15:00-04:00
19285	183.990	183.990	183.840	183.840	FB	206	2019-08-22 09:16:00-04:00
19478	183.760	183.840	183.700	183.840	FB	1521	2019-08-22 09:17:00-04:00
19725	183.800	183.800	183.640	183.640	FB	38	2019-08-22 09:18:00-04:00
20047	183.700	183.800	183.700	183.730	FB	1308	2019-08-22 09:19:00-04:00
20291	183.820	183.820	183.651	183.651	FB	160	2019-08-22 09:20:00-04:00
20545	183.800	183.800	183.800	183.800	FB	48	2019-08-22 09:21:00-04:00
20802	183.800	183.800	183.800	183.800	FB	20	2019-08-22 09:22:00-04:00
21067	183.800	183.800	183.800	183.800	FB	25	2019-08-22 09:23:00-04:00
21330	183.560	183.800	183.560	183.650	FB	5292	2019-08-22 09:24:00-04:00
21605	183.510	183.630	183.510	183.630	FB	24	2019-08-22 09:25:00-04:00
21901	183.500	183.630	183.500	183.630	FB	610	2019-08-22 09:26:00-04:00
22126	183.509	183.630	183.509	183.620	FB	4413	2019-08-22 09:27:00-04:00
22645	183.470	183.500	183.420	183.500	FB	2856	2019-08-22 09:28:00-04:00
23038	183.510	183.510	183.420	183.420	FB	1410	2019-08-22 09:29:00-04:00
24194	183.390	183.870	183.260	183.510	FB	210867	2019-08-22 09:30:00-04:00
31175	183.748	184.150	183.380	183.380	FB	45873	2019-08-22 09:31:00-04:00
34072	183.565	183.909	183.500	183.755	FB	22799	2019-08-22 09:32:00-04:00
37264	183.640	183.710	183.300	183.500	FB	35274	2019-08-22 09:33:00-04:00
40623	183.740	183.790	183.600	183.620	FB	9214	2019-08-22 09:34:00-04:00
44501	183.900	184.000	183.670	183.760	FB	26497	2019-08-22 09:35:00-04:00
48191	184.090	184.100	183.970	183.980	FB	55074	2019-08-22 09:36:00-04:00
51368	183.910	184.100	183.790	184.075	FB	59810	2019-08-22 09:37:00-04:00
55560	183.760	183.960	183.660	183.940	FB	27749	2019-08-22 09:38:00-04:00
59167	183.450	183.820	183.360	183.810	FB	44067	2019-08-22 09:39:00-04:00
62121	183.612	183.759	183.460	183.490	FB	19082	2019-08-22 09:40:00-04:00
65354	183.730	183.790	183.610	183.620	FB	34326	2019-08-22 09:41:00-04:00
69059	183.897	183.923	183.680	183.720	FB	37694	2019-08-22 09:42:00-04:00
72291	183.766	183.920	183.630	183.908	FB	33889	2019-08-22 09:43:00-04:00
75688	183.650	183.790	183.610	183.770	FB	15164	2019-08-22 09:44:00-04:00
78968	183.585	183.760	183.400	183.620	FB	32982	2019-08-22 09:45:00-04:00
82796	183.500	183.580	183.340	183.580	FB	35042	2019-08-22 09:46:00-04:00
86179	183.450	183.575	183.450	183.470	FB	25017	2019-08-22 09:47:00-04:00
89981	183.480	183.570	183.380	183.460	FB	14066	2019-08-22 09:48:00-04:00
93303	183.670	183.706	183.450	183.480	FB	11104	2019-08-22 09:49:00-04:00
96599	183.570	183.660	183.490	183.660	FB	11175	2019-08-22 09:50:00-04:00
100266	183.560	183.630	183.451	183.560	FB	35748	2019-08-22 09:51:00-04:00
103763	183.540	183.630	183.490	183.550	FB	15682	2019-08-22 09:52:00-04:00
106887	183.556	183.640	183.500	183.520	FB	15911	2019-08-22 09:53:00-04:00
110598	183.560	183.670	183.540	183.570	FB	17027	2019-08-22 09:54:00-04:00
113628	183.550	183.670	183.440	183.600	FB	22657	2019-08-22 09:55:00-04:00
