Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
CMW,Cromwell Prop,Real Estate,"2,583,320,000",0.13,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,430,620,000",0.43,,,
CSL,CSL Limited,Health Care,"97,424,800,000",4.95,,,
CSR,CSR Limited,Materials,"1,951,310,000",0.1,,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"3,061,550,000",0.16,,,
DCN,Dacian Gold Limited,Materials,"119,628,000",0.01,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"14,237,200,000",0.72,,,
DHG,Domain Holdings Aus,Information Technology,"1,854,190,000",0.09,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"3,223,270,000",0.16,,,
DOW,Downer Edi Limited,Industrials,"4,115,340,000",0.21,,,
DLX,Duluxgroup Limited,Materials,"3,627,810,000",0.18,,,
ECX,Eclipx Group Limited,Financials,"418,724,000",0.02,,,
ELD,Elders Limited,Consumer Staples,"726,358,000",0.04,,,
EHL,Emeco Holdings,Industrials,"669,050,000",0.03,,,
EML,EML Payments Limited,Information Technology,"742,823,000",0.04,,,
EHE,Estia Health Limited,Health Care,"687,991,000",0.03,,,
A2M,The a2 Milk Company,Consumer Staples,"10,178,300,000",0.52,,,
EPW,Erm Power Limited,Utilities,"469,143,000",0.02,,,
EVN,Evolution Mining Limited,Materials,"7,399,220,000",0.38,,,
FAR,FAR Limited,Energy,"433,347,000",0.02,,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"3,976,600,000",0.2,,,
FLT,Flight Centre Travel,Consumer Discretionary,"4,200,940,000",0.21,,,
FMG,Fortescue Metals Group,Materials,"27,772,300,000",1.41,,,
FNP,Freedom Food Limited,Consumer Staples,"1,386,350,000",0.07,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"8,509,600,000",0.43,,,
FXL,Flexigroup Limited,Financials,"642,858,000",0.03,,,
GDI,GDI Property Group,Real Estate,"747,318,000",0.04,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,388,940,000",0.07,,,
GMA,Genworth Mortgage,Financials,"1,166,720,000",0.06,,,
GMG,Goodman Group,Real Estate,"27,262,600,000",1.38,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,823,980,000",0.09,,,
GOR,Gold Road Res Limited,Materials,"869,197,000",0.04,,,
GOZ,Growthpoint Property,Real Estate,"2,998,510,000",0.15,,,
GPT,GPT Group,Real Estate,"11,910,600,000",0.6,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"865,725,000",0.04,,,
GWA,GWA Group Limited,Industrials,"902,701,000",0.05,,,
GXY,Galaxy Resources,Materials,"501,444,000",0.03,,,
HLS,Healius,Health Care,"1,879,410,000",0.1,,,
HPI,Hotel Property,Real Estate,"502,603,000",0.03,,,
HSN,Hansen Technologies,Information Technology,"775,486,000",0.04,,,
HT1,HT&E Limited,Consumer Discretionary,"501,670,000",0.03,,,
HUB,HUB24 Limited,Financials,"740,473,000",0.04,,,
HVN,Harvey Norman,Consumer Discretionary,"4,801,530,000",0.24,,,
IAG,Insurance Australia,Financials,"19,089,200,000",0.97,,,
IEL,Idp Education Limited,Consumer Discretionary,"4,493,500,000",0.23,,,
IFL,IOOF Holdings Limited,Financials,"1,815,060,000",0.09,,,
IFM,Infomedia Limited,Information Technology,"532,687,000",0.03,,,
IFN,Infigen Energy,Utilities,"454,367,000",0.02,,,
IGL,Ivegroup,Consumer Discretionary,"305,249,000",0.02,,,
IGO,Independence Group,Materials,"2,787,060,000",0.14,,,
ILU,Iluka Resources,Materials,"4,550,320,000",0.23,,,
IMD,IMDEX Limited,Materials,"494,367,000",0.03,,,
IMF,IMF Bentham Limited,Financials,"597,458,000",0.03,,,
INA,Ingenia Group,Real Estate,"765,855,000",0.04,,,
ING,Inghams Group,Consumer Staples,"1,494,150,000",0.08,,,
INR,Ioneer Limited,Materials,"199,123,000",0.01,,,
IPH,IPH Limited,Industrials,"1,472,170,000",0.07,,,
IPL,Incitec Pivot,Materials,"5,475,720,000",0.28,,,
IRE,Iress Limited,Information Technology,"2,434,290,000",0.12,,,
IRI,Integrated Research,Information Technology,"567,140,000",0.03,,,
IVC,Invocare Limited,Consumer Discretionary,"1,867,910,000",0.09,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,969,740,000",0.15,,,
JHC,Japara Healthcare LT,Health Care,"300,653,000",0.02,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"1,466,190,000",0.07,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"8,270,460,000",0.42,,,
JIN,Jumbo Interactive,Consumer Discretionary,"1,251,790,000",0.06,,,
JMS,Jupiter Mines,Materials,"675,852,000",0.03,,,
KAR,Karoon Energy Limited,Energy,"235,137,000",0.01,,,
KDR,Kidman Resources Limited,Materials,"761,019,000",0.04,,,
KGN,Kogan.com Limited,Consumer Discretionary,"445,217,000",0.02,,,
LLC,Lendlease Group,Real Estate,"7,333,700,000",0.37,,,
LNG,Liquefied Natural,Energy,"134,376,000",0.01,,,
LNK,Link Admin HLDG,Information Technology,"2,669,750,000",0.14,,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"1,199,230,000",0.06,,,
LYC,Lynas Corporation,Materials,"1,716,250,000",0.09,,,
MAH,Macmahon Holdings,Materials,"398,672,000",0.02,,,
MFG,Magellan Fin Group Limited,Financials,"9,031,460,000",0.46,,,
MGR,Mirvac Group,Real Estate,"12,241,900,000",0.62,,,
MGX,Mount Gibson Iron,Materials,"1,150,940,000",0.06,,,
MIN,Mineral Resources,Materials,"2,817,720,000",0.14,,,
MLD,Maca Limited,Materials,"241,207,000",0.01,,,
MLX,Metals X Limited,Materials,"168,820,000",0.01,,,
MMS,Mcmillan Shakespeare,Industrials,"1,015,930,000",0.05,,,
MND,Monadelphous Group,Industrials,"1,773,680,000",0.09,,,
MNY,MONEY3 Corporation,Financials,"386,105,000",0.02,,,
MP1,Megaport Limited,Information Technology,"879,615,000",0.04,,,
MPL,Medibank Private Limited,Financials,"9,611,470,000",0.49,,,
MQG,Macquarie Group Limited,Financials,"42,680,600,000",2.17,,,
MSB,Mesoblast Limited,Health Care,"735,474,000",0.04,,,
MTS,Metcash Limited,Consumer Staples,"2,336,790,000",0.12,,,
MVF,Monash Ivf Group Limited,Health Care,"328,921,000",0.02,,,
